
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,217,0,0,0,66,0,0,0,0,0,221,0,
,Cell: 21,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 22,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 23,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 4,0,0,183,0,0,0,59,0,0,0,0,0,194,0,
,Cell: 5,0,0,191,0,0,0,76,0,0,0,0,0,244,0,
,Cell: 6,0,0,175,0,0,0,55,0,0,0,0,0,189,0,
,Cell: 7,0,0,144,0,0,0,64,0,0,0,0,0,153,0,
,Cell: 8,0,0,194,0,0,0,56,0,0,0,0,0,306,0,
,Cell: 9,0,0,163,0,0,0,61,0,0,0,0,0,213,0,
,Cell: 10,0,0,150,0,0,0,45,0,0,0,0,0,136,0,
,Cell: 11,0,0,209,0,0,0,71,0,0,0,0,0,265,0,
,Cell: 12,0,0,185,0,0,0,73,0,0,0,0,0,233,0,
,Cell: 13,0,0,176,0,0,0,57,0,0,0,0,0,202,0,
,Cell: 14,0,0,171,0,0,0,56,0,0,0,0,0,206,0,
,Cell: 15,0,0,174,0,0,0,58,0,0,0,0,0,256,0,
,Cell: 16,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 17,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 18,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 19,0,0,217,0,0,0,66,0,0,0,0,0,221,0,

Time: 2.00001,Cell: 20,0,0,308,0,0,0,108,0,0,0,0,0,1047,0,
,Cell: 21,0,0,284,0,0,0,89,0,0,0,0,0,759,0,
,Cell: 22,0,0,355,0,0,0,119,0,0,0,0,0,1188,0,
,Cell: 23,0,0,332,0,0,0,126,0,0,0,0,0,1217,0,
,Cell: 24,0,0,332,0,0,0,126,0,0,0,0,0,1217,0,
,Cell: 25,0,0,355,0,0,0,119,0,0,0,0,0,1188,0,
,Cell: 26,0,0,308,0,0,0,108,0,0,0,0,0,1047,0,
,Cell: 27,0,0,284,0,0,0,89,0,0,0,0,0,759,0,
,Cell: 8,0,0,286,0,0,0,105,0,0,0,0,0,1064,0,
,Cell: 9,0,0,275,0,0,0,93,0,0,0,0,0,952,0,
,Cell: 10,0,0,256,0,0,0,87,0,0,0,0,0,822,0,
,Cell: 11,0,0,304,0,0,0,124,0,0,0,0,0,1197,0,
,Cell: 12,0,0,342,0,0,0,115,0,0,0,0,0,1271,0,
,Cell: 13,0,0,333,0,0,0,109,0,0,0,0,0,1044,0,
,Cell: 14,0,0,322,0,0,0,116,0,0,0,0,0,1073,0,
,Cell: 15,0,0,337,0,0,0,119,0,0,0,0,0,1021,0,
,Cell: 16,0,0,347,0,0,0,128,0,0,0,0,0,1302,0,
,Cell: 17,0,0,315,0,0,0,121,0,0,0,0,0,1264,0,
,Cell: 18,0,0,297,0,0,0,110,0,0,0,0,0,860,0,
,Cell: 19,0,0,309,0,0,0,128,0,0,0,0,0,1159,0,

Time: 3.00001,Cell: 20,0,0,413,0,0,0,158,0,0,0,0,0,2000,0,
,Cell: 21,0,0,354,0,0,0,155,0,0,0,0,0,1726,0,
,Cell: 22,0,0,430,0,0,0,161,0,0,0,0,0,2252,0,
,Cell: 23,0,0,421,0,0,0,161,0,0,0,0,0,2235,0,
,Cell: 24,0,0,389,0,0,0,167,0,0,0,0,0,2142,0,
,Cell: 25,0,0,403,0,0,0,153,0,0,0,0,0,2176,0,
,Cell: 26,0,0,410,0,0,0,156,0,0,0,0,0,1939,0,
,Cell: 27,0,0,311,0,0,0,141,0,0,0,0,0,1616,0,
,Cell: 28,0,0,403,0,0,0,153,0,0,0,0,0,2176,0,
,Cell: 29,0,0,389,0,0,0,167,0,0,0,0,0,2142,0,
,Cell: 30,0,0,311,0,0,0,141,0,0,0,0,0,1616,0,
,Cell: 31,0,0,410,0,0,0,156,0,0,0,0,0,1939,0,
,Cell: 12,0,0,421,0,0,0,156,0,0,0,0,0,2184,0,
,Cell: 13,0,0,391,0,0,0,156,0,0,0,0,0,1978,0,
,Cell: 14,0,0,390,0,0,0,153,0,0,0,0,0,2149,0,
,Cell: 15,0,0,386,0,0,0,162,0,0,0,0,0,2075,0,
,Cell: 16,0,0,451,0,0,0,176,0,0,0,0,0,2292,0,
,Cell: 17,0,0,441,0,0,0,169,0,0,0,0,0,2233,0,
,Cell: 18,0,0,387,0,0,0,163,0,0,0,0,0,1909,0,
,Cell: 19,0,0,421,0,0,0,170,0,0,0,0,0,2245,0,

Time: 4.00001,Cell: 20,0,0,480,0,0,0,191,0,0,0,0,0,3003,0,
,Cell: 21,0,0,448,0,0,0,204,0,0,0,0,0,2864,0,
,Cell: 22,0,0,478,0,0,0,201,0,0,0,0,0,3215,0,
,Cell: 23,0,0,468,0,0,0,197,0,0,0,0,0,3139,0,
,Cell: 24,0,0,485,0,0,0,206,0,0,0,0,0,3173,0,
,Cell: 25,0,0,483,0,0,0,207,0,0,0,0,0,2970,0,
,Cell: 26,0,0,468,0,0,0,191,0,0,0,0,0,2981,0,
,Cell: 27,0,0,462,0,0,0,179,0,0,0,0,0,2620,0,
,Cell: 28,0,0,474,0,0,0,193,0,0,0,0,0,2950,0,
,Cell: 29,0,0,471,0,0,0,226,0,0,0,0,0,3290,0,
,Cell: 30,0,0,415,0,0,0,191,0,0,0,0,0,2644,0,
,Cell: 31,0,0,501,0,0,0,219,0,0,0,0,0,3032,0,
,Cell: 32,0,0,501,0,0,0,219,0,0,0,0,0,3032,0,
,Cell: 33,0,0,415,0,0,0,191,0,0,0,0,0,2644,0,
,Cell: 34,0,0,474,0,0,0,193,0,0,0,0,0,2950,0,
,Cell: 35,0,0,471,0,0,0,226,0,0,0,0,0,3290,0,
,Cell: 16,0,0,481,0,0,0,213,0,0,0,0,0,3245,0,
,Cell: 17,0,0,476,0,0,0,225,0,0,0,0,0,3238,0,
,Cell: 18,0,0,454,0,0,0,191,0,0,0,0,0,3031,0,
,Cell: 19,0,0,502,0,0,0,213,0,0,0,0,0,3248,0,

Time: 5.00001,Cell: 20,0,0,522,0,0,0,241,0,0,0,0,0,3822,0,
,Cell: 21,0,0,509,0,0,0,245,0,0,0,0,0,4001,0,
,Cell: 22,0,0,485,0,0,0,230,0,0,0,0,0,3922,0,
,Cell: 23,0,0,558,0,0,0,243,0,0,0,0,0,4076,0,
,Cell: 24,0,0,536,0,0,0,244,0,0,0,0,0,3999,0,
,Cell: 25,0,0,537,0,0,0,246,0,0,0,0,0,4022,0,
,Cell: 26,0,0,530,0,0,0,214,0,0,0,0,0,3716,0,
,Cell: 27,0,0,506,0,0,0,234,0,0,0,0,0,3571,0,
,Cell: 28,0,0,521,0,0,0,243,0,0,0,0,0,3855,0,
,Cell: 29,0,0,523,0,0,0,269,0,0,0,0,0,4388,0,
,Cell: 30,0,0,487,0,0,0,220,0,0,0,0,0,3591,0,
,Cell: 31,0,0,544,0,0,0,269,0,0,0,0,0,4319,0,
,Cell: 32,0,0,548,0,0,0,244,0,0,0,0,0,4080,0,
,Cell: 33,0,0,519,0,0,0,245,0,0,0,0,0,3679,0,
,Cell: 34,0,0,494,0,0,0,229,0,0,0,0,0,3743,0,
,Cell: 35,0,0,560,0,0,0,257,0,0,0,0,0,4387,0,
,Cell: 36,0,0,519,0,0,0,245,0,0,0,0,0,3679,0,
,Cell: 37,0,0,548,0,0,0,244,0,0,0,0,0,4080,0,
