
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 21,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 22,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 23,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00002,Cell: 20,0,0,209,0,0,0,89,0,0,0,0,0,122,0,
,Cell: 21,0,0,198,0,0,0,88,0,0,0,0,0,91,0,
,Cell: 22,0,0,205,0,0,0,101,0,0,0,0,0,75,0,
,Cell: 23,0,0,182,0,0,0,78,0,0,0,0,0,81,0,
,Cell: 24,0,0,198,0,0,0,88,0,0,0,0,0,91,0,
,Cell: 25,0,0,209,0,0,0,89,0,0,0,0,0,122,0,
,Cell: 26,0,0,205,0,0,0,101,0,0,0,0,0,75,0,
,Cell: 27,0,0,182,0,0,0,78,0,0,0,0,0,81,0,
,Cell: 8,0,0,209,0,0,0,96,0,0,0,0,0,98,0,
,Cell: 9,0,0,193,0,0,0,98,0,0,0,0,0,81,0,
,Cell: 10,0,0,195,0,0,0,86,0,0,0,0,0,73,0,
,Cell: 11,0,0,165,0,0,0,83,0,0,0,0,0,86,0,
,Cell: 12,0,0,164,0,0,0,63,0,0,0,0,0,69,0,
,Cell: 13,0,0,222,0,0,0,96,0,0,0,0,0,94,0,
,Cell: 14,0,0,198,0,0,0,92,0,0,0,0,0,102,0,
,Cell: 15,0,0,204,0,0,0,85,0,0,0,0,0,83,0,
,Cell: 16,0,0,196,0,0,0,81,0,0,0,0,0,79,0,
,Cell: 17,0,0,228,0,0,0,90,0,0,0,0,0,122,0,
,Cell: 18,0,0,187,0,0,0,75,0,0,0,0,0,91,0,
,Cell: 19,0,0,208,0,0,0,94,0,0,0,0,0,76,0,

Time: 3.00002,Cell: 20,0,0,353,0,0,0,130,0,0,0,0,0,339,0,
,Cell: 21,0,0,270,0,0,0,122,0,0,0,0,0,321,0,
,Cell: 22,0,0,296,0,0,0,139,0,0,0,0,0,333,0,
,Cell: 23,0,0,258,0,0,0,119,0,0,0,0,0,293,0,
,Cell: 24,0,0,289,0,0,0,116,0,0,0,0,0,333,0,
,Cell: 25,0,0,290,0,0,0,130,0,0,0,0,0,364,0,
,Cell: 26,0,0,318,0,0,0,136,0,0,0,0,0,362,0,
,Cell: 27,0,0,251,0,0,0,111,0,0,0,0,0,297,0,
,Cell: 28,0,0,318,0,0,0,136,0,0,0,0,0,362,0,
,Cell: 29,0,0,290,0,0,0,130,0,0,0,0,0,364,0,
,Cell: 30,0,0,289,0,0,0,116,0,0,0,0,0,333,0,
,Cell: 31,0,0,251,0,0,0,111,0,0,0,0,0,297,0,
,Cell: 12,0,0,253,0,0,0,99,0,0,0,0,0,227,0,
,Cell: 13,0,0,278,0,0,0,134,0,0,0,0,0,378,0,
,Cell: 14,0,0,296,0,0,0,134,0,0,0,0,0,363,0,
,Cell: 15,0,0,289,0,0,0,117,0,0,0,0,0,305,0,
,Cell: 16,0,0,290,0,0,0,123,0,0,0,0,0,293,0,
,Cell: 17,0,0,292,0,0,0,112,0,0,0,0,0,356,0,
,Cell: 18,0,0,271,0,0,0,107,0,0,0,0,0,272,0,
,Cell: 19,0,0,292,0,0,0,118,0,0,0,0,0,315,0,

Time: 4.00002,Cell: 20,0,0,358,0,0,0,163,0,0,0,0,0,676,0,
,Cell: 21,0,0,325,0,0,0,151,0,0,0,0,0,607,0,
,Cell: 22,0,0,326,0,0,0,162,0,0,0,0,0,716,0,
,Cell: 23,0,0,322,0,0,0,159,0,0,0,0,0,608,0,
,Cell: 24,0,0,328,0,0,0,164,0,0,0,0,0,640,0,
,Cell: 25,0,0,341,0,0,0,153,0,0,0,0,0,691,0,
,Cell: 26,0,0,361,0,0,0,160,0,0,0,0,0,736,0,
,Cell: 27,0,0,316,0,0,0,140,0,0,0,0,0,581,0,
,Cell: 28,0,0,353,0,0,0,162,0,0,0,0,0,721,0,
,Cell: 29,0,0,327,0,0,0,155,0,0,0,0,0,686,0,
,Cell: 30,0,0,340,0,0,0,147,0,0,0,0,0,664,0,
,Cell: 31,0,0,311,0,0,0,143,0,0,0,0,0,559,0,
,Cell: 32,0,0,353,0,0,0,162,0,0,0,0,0,721,0,
,Cell: 33,0,0,340,0,0,0,147,0,0,0,0,0,664,0,
,Cell: 34,0,0,311,0,0,0,143,0,0,0,0,0,559,0,
,Cell: 35,0,0,327,0,0,0,155,0,0,0,0,0,686,0,
,Cell: 16,0,0,352,0,0,0,155,0,0,0,0,0,609,0,
,Cell: 17,0,0,290,0,0,0,139,0,0,0,0,0,646,0,
,Cell: 18,0,0,313,0,0,0,134,0,0,0,0,0,540,0,
,Cell: 19,0,0,322,0,0,0,146,0,0,0,0,0,612,0,

Time: 5.00003,Cell: 20,0,0,404,0,0,0,188,0,0,0,0,0,1037,0,
,Cell: 21,0,0,345,0,0,0,165,0,0,0,0,0,977,0,
,Cell: 22,0,0,400,0,0,0,198,0,0,0,0,0,1091,0,
,Cell: 23,0,0,368,0,0,0,194,0,0,0,0,0,983,0,
,Cell: 24,0,0,384,0,0,0,206,0,0,0,0,0,1023,0,
,Cell: 25,0,0,360,0,0,0,190,0,0,0,0,0,1026,0,
,Cell: 26,0,0,390,0,0,0,182,0,0,0,0,0,1098,0,
,Cell: 27,0,0,324,0,0,0,174,0,0,0,0,0,941,0,
,Cell: 28,0,0,376,0,0,0,200,0,0,0,0,0,1120,0,
,Cell: 29,0,0,415,0,0,0,190,0,0,0,0,0,1026,0,
,Cell: 30,0,0,362,0,0,0,167,0,0,0,0,0,1004,0,
,Cell: 31,0,0,387,0,0,0,169,0,0,0,0,0,902,0,
,Cell: 32,0,0,362,0,0,0,186,0,0,0,0,0,1066,0,
,Cell: 33,0,0,366,0,0,0,168,0,0,0,0,0,996,0,
,Cell: 34,0,0,350,0,0,0,166,0,0,0,0,0,912,0,
,Cell: 35,0,0,373,0,0,0,191,0,0,0,0,0,1042,0,
,Cell: 36,0,0,362,0,0,0,186,0,0,0,0,0,1066,0,
,Cell: 37,0,0,373,0,0,0,191,0,0,0,0,0,1042,0,
,Cell: 38,0,0,366,0,0,0,168,0,0,0,0,0,996,0,
,Cell: 39,0,0,350,0,0,0,166,0,0,0,0,0,912,0,

