
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 21,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 22,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 23,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,210,0,0,0,89,0,0,0,0,0,96,0,
,Cell: 21,0,0,195,0,0,0,81,0,0,0,0,0,96,0,
,Cell: 22,0,0,233,0,0,0,98,0,0,0,0,0,113,0,
,Cell: 23,0,0,193,0,0,0,72,0,0,0,0,0,76,0,
,Cell: 24,0,0,195,0,0,0,81,0,0,0,0,0,96,0,
,Cell: 25,0,0,193,0,0,0,72,0,0,0,0,0,76,0,
,Cell: 26,0,0,210,0,0,0,89,0,0,0,0,0,96,0,
,Cell: 27,0,0,233,0,0,0,98,0,0,0,0,0,113,0,
,Cell: 8,0,0,228,0,0,0,81,0,0,0,0,0,97,0,
,Cell: 9,0,0,209,0,0,0,91,0,0,0,0,0,81,0,
,Cell: 10,0,0,174,0,0,0,82,0,0,0,0,0,69,0,
,Cell: 11,0,0,170,0,0,0,89,0,0,0,0,0,88,0,
,Cell: 12,0,0,189,0,0,0,74,0,0,0,0,0,61,0,
,Cell: 13,0,0,213,0,0,0,93,0,0,0,0,0,104,0,
,Cell: 14,0,0,195,0,0,0,80,0,0,0,0,0,90,0,
,Cell: 15,0,0,207,0,0,0,92,0,0,0,0,0,95,0,
,Cell: 16,0,0,206,0,0,0,79,0,0,0,0,0,89,0,
,Cell: 17,0,0,222,0,0,0,95,0,0,0,0,0,131,0,
,Cell: 18,0,0,176,0,0,0,76,0,0,0,0,0,84,0,
,Cell: 19,0,0,185,0,0,0,88,0,0,0,0,0,73,0,

Time: 3.00001,Cell: 20,0,0,299,0,0,0,126,0,0,0,0,0,315,0,
,Cell: 21,0,0,256,0,0,0,108,0,0,0,0,0,284,0,
,Cell: 22,0,0,296,0,0,0,133,0,0,0,0,0,357,0,
,Cell: 23,0,0,261,0,0,0,109,0,0,0,0,0,261,0,
,Cell: 24,0,0,283,0,0,0,116,0,0,0,0,0,292,0,
,Cell: 25,0,0,261,0,0,0,95,0,0,0,0,0,279,0,
,Cell: 26,0,0,291,0,0,0,121,0,0,0,0,0,331,0,
,Cell: 27,0,0,281,0,0,0,132,0,0,0,0,0,391,0,
,Cell: 28,0,0,291,0,0,0,121,0,0,0,0,0,331,0,
,Cell: 29,0,0,283,0,0,0,116,0,0,0,0,0,292,0,
,Cell: 30,0,0,281,0,0,0,132,0,0,0,0,0,391,0,
,Cell: 31,0,0,261,0,0,0,95,0,0,0,0,0,279,0,
,Cell: 12,0,0,257,0,0,0,100,0,0,0,0,0,250,0,
,Cell: 13,0,0,282,0,0,0,119,0,0,0,0,0,357,0,
,Cell: 14,0,0,275,0,0,0,120,0,0,0,0,0,316,0,
,Cell: 15,0,0,311,0,0,0,126,0,0,0,0,0,343,0,
,Cell: 16,0,0,282,0,0,0,114,0,0,0,0,0,291,0,
,Cell: 17,0,0,297,0,0,0,111,0,0,0,0,0,400,0,
,Cell: 18,0,0,234,0,0,0,115,0,0,0,0,0,276,0,
,Cell: 19,0,0,258,0,0,0,129,0,0,0,0,0,311,0,

Time: 4.00001,Cell: 20,0,0,337,0,0,0,168,0,0,0,0,0,645,0,
,Cell: 21,0,0,355,0,0,0,161,0,0,0,0,0,549,0,
,Cell: 22,0,0,332,0,0,0,163,0,0,0,0,0,709,0,
,Cell: 23,0,0,298,0,0,0,148,0,0,0,0,0,542,0,
,Cell: 24,0,0,370,0,0,0,149,0,0,0,0,0,611,0,
,Cell: 25,0,0,286,0,0,0,130,0,0,0,0,0,516,0,
,Cell: 26,0,0,338,0,0,0,148,0,0,0,0,0,647,0,
,Cell: 27,0,0,354,0,0,0,172,0,0,0,0,0,714,0,
,Cell: 28,0,0,340,0,0,0,148,0,0,0,0,0,621,0,
,Cell: 29,0,0,308,0,0,0,156,0,0,0,0,0,612,0,
,Cell: 30,0,0,340,0,0,0,167,0,0,0,0,0,699,0,
,Cell: 31,0,0,295,0,0,0,131,0,0,0,0,0,512,0,
,Cell: 32,0,0,295,0,0,0,131,0,0,0,0,0,512,0,
,Cell: 33,0,0,340,0,0,0,148,0,0,0,0,0,621,0,
,Cell: 34,0,0,340,0,0,0,167,0,0,0,0,0,699,0,
,Cell: 35,0,0,308,0,0,0,156,0,0,0,0,0,612,0,
,Cell: 16,0,0,316,0,0,0,158,0,0,0,0,0,596,0,
,Cell: 17,0,0,323,0,0,0,150,0,0,0,0,0,666,0,
,Cell: 18,0,0,324,0,0,0,129,0,0,0,0,0,556,0,
,Cell: 19,0,0,327,0,0,0,160,0,0,0,0,0,647,0,

Time: 5.00001,Cell: 20,0,0,388,0,0,0,191,0,0,0,0,0,1042,0,
,Cell: 21,0,0,373,0,0,0,186,0,0,0,0,0,961,0,
,Cell: 22,0,0,397,0,0,0,196,0,0,0,0,0,1074,0,
,Cell: 23,0,0,381,0,0,0,169,0,0,0,0,0,893,0,
,Cell: 24,0,0,373,0,0,0,170,0,0,0,0,0,942,0,
,Cell: 25,0,0,326,0,0,0,163,0,0,0,0,0,805,0,
,Cell: 26,0,0,368,0,0,0,177,0,0,0,0,0,971,0,
,Cell: 27,0,0,418,0,0,0,198,0,0,0,0,0,1097,0,
,Cell: 28,0,0,386,0,0,0,176,0,0,0,0,0,965,0,
,Cell: 29,0,0,397,0,0,0,184,0,0,0,0,0,963,0,
,Cell: 30,0,0,369,0,0,0,184,0,0,0,0,0,1122,0,
,Cell: 31,0,0,358,0,0,0,150,0,0,0,0,0,814,0,
,Cell: 32,0,0,349,0,0,0,160,0,0,0,0,0,809,0,
,Cell: 33,0,0,362,0,0,0,176,0,0,0,0,0,977,0,
,Cell: 34,0,0,403,0,0,0,192,0,0,0,0,0,1073,0,
,Cell: 35,0,0,377,0,0,0,183,0,0,0,0,0,934,0,
,Cell: 36,0,0,349,0,0,0,160,0,0,0,0,0,809,0,
,Cell: 37,0,0,403,0,0,0,192,0,0,0,0,0,1073,0,
,Cell: 38,0,0,362,0,0,0,176,0,0,0,0,0,977,0,
,Cell: 39,0,0,377,0,0,0,183,0,0,0,0,0,934,0,

