
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,217,0,0,0,66,0,0,0,0,0,221,0,
,Cell: 21,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 22,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 23,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 4,0,0,183,0,0,0,59,0,0,0,0,0,194,0,
,Cell: 5,0,0,191,0,0,0,76,0,0,0,0,0,244,0,
,Cell: 6,0,0,175,0,0,0,55,0,0,0,0,0,189,0,
,Cell: 7,0,0,144,0,0,0,64,0,0,0,0,0,153,0,
,Cell: 8,0,0,194,0,0,0,56,0,0,0,0,0,306,0,
,Cell: 9,0,0,163,0,0,0,61,0,0,0,0,0,213,0,
,Cell: 10,0,0,150,0,0,0,45,0,0,0,0,0,136,0,
,Cell: 11,0,0,209,0,0,0,71,0,0,0,0,0,265,0,
,Cell: 12,0,0,185,0,0,0,73,0,0,0,0,0,233,0,
,Cell: 13,0,0,176,0,0,0,57,0,0,0,0,0,202,0,
,Cell: 14,0,0,171,0,0,0,56,0,0,0,0,0,206,0,
,Cell: 15,0,0,174,0,0,0,58,0,0,0,0,0,256,0,
,Cell: 16,0,0,186,0,0,0,71,0,0,0,0,0,190,0,
,Cell: 17,0,0,203,0,0,0,70,0,0,0,0,0,216,0,
,Cell: 18,0,0,162,0,0,0,45,0,0,0,0,0,148,0,
,Cell: 19,0,0,217,0,0,0,66,0,0,0,0,0,221,0,

Time: 2.00001,Cell: 20,0,0,329,0,0,0,115,0,0,0,0,0,1060,0,
,Cell: 21,0,0,323,0,0,0,121,0,0,0,0,0,1155,0,
,Cell: 22,0,0,313,0,0,0,123,0,0,0,0,0,1217,0,
,Cell: 23,0,0,292,0,0,0,98,0,0,0,0,0,847,0,
,Cell: 24,0,0,313,0,0,0,123,0,0,0,0,0,1217,0,
,Cell: 25,0,0,329,0,0,0,115,0,0,0,0,0,1060,0,
,Cell: 26,0,0,323,0,0,0,121,0,0,0,0,0,1155,0,
,Cell: 27,0,0,292,0,0,0,98,0,0,0,0,0,847,0,
,Cell: 8,0,0,268,0,0,0,93,0,0,0,0,0,950,0,
,Cell: 9,0,0,326,0,0,0,115,0,0,0,0,0,1062,0,
,Cell: 10,0,0,300,0,0,0,107,0,0,0,0,0,859,0,
,Cell: 11,0,0,299,0,0,0,120,0,0,0,0,0,1230,0,
,Cell: 12,0,0,322,0,0,0,133,0,0,0,0,0,1121,0,
,Cell: 13,0,0,277,0,0,0,87,0,0,0,0,0,964,0,
,Cell: 14,0,0,282,0,0,0,107,0,0,0,0,0,963,0,
,Cell: 15,0,0,292,0,0,0,105,0,0,0,0,0,976,0,
,Cell: 16,0,0,360,0,0,0,127,0,0,0,0,0,1108,0,
,Cell: 17,0,0,305,0,0,0,107,0,0,0,0,0,1112,0,
,Cell: 18,0,0,280,0,0,0,97,0,0,0,0,0,866,0,
,Cell: 19,0,0,315,0,0,0,114,0,0,0,0,0,1128,0,

Time: 3.00001,Cell: 20,0,0,433,0,0,0,165,0,0,0,0,0,2238,0,
,Cell: 21,0,0,394,0,0,0,162,0,0,0,0,0,2191,0,
,Cell: 22,0,0,425,0,0,0,170,0,0,0,0,0,2350,0,
,Cell: 23,0,0,381,0,0,0,149,0,0,0,0,0,1866,0,
,Cell: 24,0,0,430,0,0,0,168,0,0,0,0,0,2208,0,
,Cell: 25,0,0,406,0,0,0,154,0,0,0,0,0,2061,0,
,Cell: 26,0,0,440,0,0,0,173,0,0,0,0,0,2182,0,
,Cell: 27,0,0,371,0,0,0,147,0,0,0,0,0,1814,0,
,Cell: 28,0,0,371,0,0,0,147,0,0,0,0,0,1814,0,
,Cell: 29,0,0,430,0,0,0,168,0,0,0,0,0,2208,0,
,Cell: 30,0,0,440,0,0,0,173,0,0,0,0,0,2182,0,
,Cell: 31,0,0,406,0,0,0,154,0,0,0,0,0,2061,0,
,Cell: 12,0,0,451,0,0,0,172,0,0,0,0,0,2330,0,
,Cell: 13,0,0,382,0,0,0,132,0,0,0,0,0,1775,0,
,Cell: 14,0,0,389,0,0,0,163,0,0,0,0,0,1854,0,
,Cell: 15,0,0,382,0,0,0,151,0,0,0,0,0,1886,0,
,Cell: 16,0,0,425,0,0,0,164,0,0,0,0,0,2217,0,
,Cell: 17,0,0,386,0,0,0,137,0,0,0,0,0,1918,0,
,Cell: 18,0,0,360,0,0,0,152,0,0,0,0,0,1815,0,
,Cell: 19,0,0,404,0,0,0,163,0,0,0,0,0,2037,0,

Time: 4.00001,Cell: 20,0,0,451,0,0,0,205,0,0,0,0,0,3195,0,
,Cell: 21,0,0,488,0,0,0,206,0,0,0,0,0,3179,0,
,Cell: 22,0,0,494,0,0,0,207,0,0,0,0,0,3182,0,
,Cell: 23,0,0,464,0,0,0,191,0,0,0,0,0,2836,0,
,Cell: 24,0,0,505,0,0,0,219,0,0,0,0,0,3325,0,
,Cell: 25,0,0,487,0,0,0,209,0,0,0,0,0,2994,0,
,Cell: 26,0,0,506,0,0,0,226,0,0,0,0,0,3246,0,
,Cell: 27,0,0,457,0,0,0,172,0,0,0,0,0,2664,0,
,Cell: 28,0,0,457,0,0,0,202,0,0,0,0,0,2889,0,
,Cell: 29,0,0,480,0,0,0,210,0,0,0,0,0,3298,0,
,Cell: 30,0,0,475,0,0,0,225,0,0,0,0,0,3285,0,
,Cell: 31,0,0,463,0,0,0,187,0,0,0,0,0,2942,0,
,Cell: 32,0,0,463,0,0,0,187,0,0,0,0,0,2942,0,
,Cell: 33,0,0,475,0,0,0,225,0,0,0,0,0,3285,0,
,Cell: 34,0,0,457,0,0,0,202,0,0,0,0,0,2889,0,
,Cell: 35,0,0,480,0,0,0,210,0,0,0,0,0,3298,0,
,Cell: 16,0,0,500,0,0,0,211,0,0,0,0,0,3160,0,
,Cell: 17,0,0,445,0,0,0,176,0,0,0,0,0,2608,0,
,Cell: 18,0,0,442,0,0,0,184,0,0,0,0,0,2725,0,
,Cell: 19,0,0,468,0,0,0,195,0,0,0,0,0,2957,0,

Time: 5.00001,Cell: 20,0,0,562,0,0,0,254,0,0,0,0,0,3981,0,
,Cell: 21,0,0,518,0,0,0,249,0,0,0,0,0,4024,0,
,Cell: 22,0,0,511,0,0,0,246,0,0,0,0,0,4070,0,
,Cell: 23,0,0,543,0,0,0,225,0,0,0,0,0,3780,0,
,Cell: 24,0,0,559,0,0,0,259,0,0,0,0,0,4256,0,
,Cell: 25,0,0,505,0,0,0,236,0,0,0,0,0,4104,0,
,Cell: 26,0,0,568,0,0,0,259,0,0,0,0,0,4440,0,
,Cell: 27,0,0,464,0,0,0,200,0,0,0,0,0,3351,0,
,Cell: 28,0,0,477,0,0,0,236,0,0,0,0,0,3964,0,
,Cell: 29,0,0,518,0,0,0,237,0,0,0,0,0,4241,0,
,Cell: 30,0,0,536,0,0,0,260,0,0,0,0,0,4352,0,
,Cell: 31,0,0,508,0,0,0,239,0,0,0,0,0,3842,0,
,Cell: 32,0,0,487,0,0,0,236,0,0,0,0,0,3843,0,
,Cell: 33,0,0,528,0,0,0,242,0,0,0,0,0,4236,0,
,Cell: 34,0,0,519,0,0,0,230,0,0,0,0,0,3832,0,
,Cell: 35,0,0,492,0,0,0,236,0,0,0,0,0,4145,0,
,Cell: 36,0,0,487,0,0,0,236,0,0,0,0,0,3843,0,
,Cell: 37,0,0,519,0,0,0,230,0,0,0,0,0,3832,0,
