
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 21,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 22,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 23,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,224,0,0,0,88,0,0,0,0,0,110,0,
,Cell: 21,0,0,210,0,0,0,87,0,0,0,0,0,72,0,
,Cell: 22,0,0,194,0,0,0,83,0,0,0,0,0,95,0,
,Cell: 23,0,0,240,0,0,0,88,0,0,0,0,0,108,0,
,Cell: 24,0,0,210,0,0,0,87,0,0,0,0,0,72,0,
,Cell: 25,0,0,224,0,0,0,88,0,0,0,0,0,110,0,
,Cell: 26,0,0,240,0,0,0,88,0,0,0,0,0,108,0,
,Cell: 27,0,0,194,0,0,0,83,0,0,0,0,0,95,0,
,Cell: 8,0,0,213,0,0,0,87,0,0,0,0,0,104,0,
,Cell: 9,0,0,199,0,0,0,100,0,0,0,0,0,110,0,
,Cell: 10,0,0,167,0,0,0,96,0,0,0,0,0,92,0,
,Cell: 11,0,0,201,0,0,0,87,0,0,0,0,0,73,0,
,Cell: 12,0,0,172,0,0,0,74,0,0,0,0,0,78,0,
,Cell: 13,0,0,193,0,0,0,71,0,0,0,0,0,96,0,
,Cell: 14,0,0,193,0,0,0,73,0,0,0,0,0,83,0,
,Cell: 15,0,0,179,0,0,0,97,0,0,0,0,0,101,0,
,Cell: 16,0,0,191,0,0,0,81,0,0,0,0,0,87,0,
,Cell: 17,0,0,222,0,0,0,87,0,0,0,0,0,122,0,
,Cell: 18,0,0,188,0,0,0,80,0,0,0,0,0,77,0,
,Cell: 19,0,0,213,0,0,0,98,0,0,0,0,0,64,0,

Time: 3.00001,Cell: 20,0,0,297,0,0,0,123,0,0,0,0,0,351,0,
,Cell: 21,0,0,284,0,0,0,105,0,0,0,0,0,309,0,
,Cell: 22,0,0,269,0,0,0,111,0,0,0,0,0,313,0,
,Cell: 23,0,0,257,0,0,0,126,0,0,0,0,0,355,0,
,Cell: 24,0,0,294,0,0,0,124,0,0,0,0,0,320,0,
,Cell: 25,0,0,283,0,0,0,119,0,0,0,0,0,360,0,
,Cell: 26,0,0,281,0,0,0,119,0,0,0,0,0,384,0,
,Cell: 27,0,0,267,0,0,0,114,0,0,0,0,0,309,0,
,Cell: 28,0,0,283,0,0,0,119,0,0,0,0,0,360,0,
,Cell: 29,0,0,294,0,0,0,124,0,0,0,0,0,320,0,
,Cell: 30,0,0,267,0,0,0,114,0,0,0,0,0,309,0,
,Cell: 31,0,0,281,0,0,0,119,0,0,0,0,0,384,0,
,Cell: 12,0,0,251,0,0,0,106,0,0,0,0,0,272,0,
,Cell: 13,0,0,249,0,0,0,117,0,0,0,0,0,305,0,
,Cell: 14,0,0,277,0,0,0,114,0,0,0,0,0,286,0,
,Cell: 15,0,0,319,0,0,0,124,0,0,0,0,0,349,0,
,Cell: 16,0,0,270,0,0,0,124,0,0,0,0,0,296,0,
,Cell: 17,0,0,270,0,0,0,134,0,0,0,0,0,355,0,
,Cell: 18,0,0,273,0,0,0,117,0,0,0,0,0,297,0,
,Cell: 19,0,0,312,0,0,0,127,0,0,0,0,0,336,0,

Time: 4.00001,Cell: 20,0,0,315,0,0,0,148,0,0,0,0,0,641,0,
,Cell: 21,0,0,314,0,0,0,138,0,0,0,0,0,590,0,
,Cell: 22,0,0,294,0,0,0,137,0,0,0,0,0,610,0,
,Cell: 23,0,0,318,0,0,0,153,0,0,0,0,0,665,0,
,Cell: 24,0,0,317,0,0,0,154,0,0,0,0,0,634,0,
,Cell: 25,0,0,367,0,0,0,159,0,0,0,0,0,644,0,
,Cell: 26,0,0,320,0,0,0,158,0,0,0,0,0,677,0,
,Cell: 27,0,0,317,0,0,0,145,0,0,0,0,0,606,0,
,Cell: 28,0,0,321,0,0,0,148,0,0,0,0,0,654,0,
,Cell: 29,0,0,362,0,0,0,159,0,0,0,0,0,638,0,
,Cell: 30,0,0,316,0,0,0,153,0,0,0,0,0,600,0,
,Cell: 31,0,0,362,0,0,0,151,0,0,0,0,0,653,0,
,Cell: 32,0,0,362,0,0,0,159,0,0,0,0,0,638,0,
,Cell: 33,0,0,316,0,0,0,153,0,0,0,0,0,600,0,
,Cell: 34,0,0,362,0,0,0,151,0,0,0,0,0,653,0,
,Cell: 35,0,0,321,0,0,0,148,0,0,0,0,0,654,0,
,Cell: 16,0,0,330,0,0,0,172,0,0,0,0,0,600,0,
,Cell: 17,0,0,348,0,0,0,167,0,0,0,0,0,688,0,
,Cell: 18,0,0,303,0,0,0,138,0,0,0,0,0,605,0,
,Cell: 19,0,0,346,0,0,0,159,0,0,0,0,0,668,0,

Time: 5.00002,Cell: 20,0,0,349,0,0,0,178,0,0,0,0,0,986,0,
,Cell: 21,0,0,360,0,0,0,179,0,0,0,0,0,924,0,
,Cell: 22,0,0,366,0,0,0,163,0,0,0,0,0,900,0,
,Cell: 23,0,0,367,0,0,0,185,0,0,0,0,0,1003,0,
,Cell: 24,0,0,364,0,0,0,185,0,0,0,0,0,1004,0,
,Cell: 25,0,0,361,0,0,0,190,0,0,0,0,0,1022,0,
,Cell: 26,0,0,354,0,0,0,195,0,0,0,0,0,1046,0,
,Cell: 27,0,0,366,0,0,0,168,0,0,0,0,0,946,0,
,Cell: 28,0,0,342,0,0,0,172,0,0,0,0,0,989,0,
,Cell: 29,0,0,413,0,0,0,190,0,0,0,0,0,1021,0,
,Cell: 30,0,0,387,0,0,0,186,0,0,0,0,0,979,0,
,Cell: 31,0,0,365,0,0,0,171,0,0,0,0,0,991,0,
,Cell: 32,0,0,377,0,0,0,177,0,0,0,0,0,1052,0,
,Cell: 33,0,0,381,0,0,0,176,0,0,0,0,0,928,0,
,Cell: 34,0,0,373,0,0,0,168,0,0,0,0,0,1052,0,
,Cell: 35,0,0,356,0,0,0,180,0,0,0,0,0,969,0,
,Cell: 36,0,0,377,0,0,0,177,0,0,0,0,0,1052,0,
,Cell: 37,0,0,356,0,0,0,180,0,0,0,0,0,969,0,
,Cell: 38,0,0,373,0,0,0,168,0,0,0,0,0,1052,0,
,Cell: 39,0,0,381,0,0,0,176,0,0,0,0,0,928,0,

