
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 21,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 22,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 23,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,198,0,0,0,84,0,0,0,0,0,101,0,
,Cell: 21,0,0,215,0,0,0,80,0,0,0,0,0,83,0,
,Cell: 22,0,0,239,0,0,0,85,0,0,0,0,0,102,0,
,Cell: 23,0,0,185,0,0,0,76,0,0,0,0,0,95,0,
,Cell: 24,0,0,215,0,0,0,80,0,0,0,0,0,83,0,
,Cell: 25,0,0,239,0,0,0,85,0,0,0,0,0,102,0,
,Cell: 26,0,0,198,0,0,0,84,0,0,0,0,0,101,0,
,Cell: 27,0,0,185,0,0,0,76,0,0,0,0,0,95,0,
,Cell: 8,0,0,225,0,0,0,97,0,0,0,0,0,104,0,
,Cell: 9,0,0,188,0,0,0,93,0,0,0,0,0,88,0,
,Cell: 10,0,0,192,0,0,0,93,0,0,0,0,0,80,0,
,Cell: 11,0,0,190,0,0,0,86,0,0,0,0,0,75,0,
,Cell: 12,0,0,177,0,0,0,84,0,0,0,0,0,76,0,
,Cell: 13,0,0,181,0,0,0,75,0,0,0,0,0,105,0,
,Cell: 14,0,0,172,0,0,0,64,0,0,0,0,0,79,0,
,Cell: 15,0,0,206,0,0,0,82,0,0,0,0,0,94,0,
,Cell: 16,0,0,212,0,0,0,74,0,0,0,0,0,88,0,
,Cell: 17,0,0,229,0,0,0,101,0,0,0,0,0,120,0,
,Cell: 18,0,0,191,0,0,0,92,0,0,0,0,0,81,0,
,Cell: 19,0,0,208,0,0,0,93,0,0,0,0,0,80,0,

Time: 3.00001,Cell: 20,0,0,284,0,0,0,124,0,0,0,0,0,328,0,
,Cell: 21,0,0,270,0,0,0,112,0,0,0,0,0,308,0,
,Cell: 22,0,0,289,0,0,0,124,0,0,0,0,0,342,0,
,Cell: 23,0,0,288,0,0,0,110,0,0,0,0,0,282,0,
,Cell: 24,0,0,268,0,0,0,111,0,0,0,0,0,323,0,
,Cell: 25,0,0,288,0,0,0,116,0,0,0,0,0,354,0,
,Cell: 26,0,0,271,0,0,0,110,0,0,0,0,0,347,0,
,Cell: 27,0,0,251,0,0,0,100,0,0,0,0,0,305,0,
,Cell: 28,0,0,251,0,0,0,100,0,0,0,0,0,305,0,
,Cell: 29,0,0,271,0,0,0,110,0,0,0,0,0,347,0,
,Cell: 30,0,0,268,0,0,0,111,0,0,0,0,0,323,0,
,Cell: 31,0,0,288,0,0,0,116,0,0,0,0,0,354,0,
,Cell: 12,0,0,277,0,0,0,124,0,0,0,0,0,282,0,
,Cell: 13,0,0,272,0,0,0,119,0,0,0,0,0,303,0,
,Cell: 14,0,0,256,0,0,0,101,0,0,0,0,0,248,0,
,Cell: 15,0,0,283,0,0,0,116,0,0,0,0,0,288,0,
,Cell: 16,0,0,285,0,0,0,99,0,0,0,0,0,282,0,
,Cell: 17,0,0,302,0,0,0,119,0,0,0,0,0,419,0,
,Cell: 18,0,0,278,0,0,0,124,0,0,0,0,0,312,0,
,Cell: 19,0,0,295,0,0,0,127,0,0,0,0,0,329,0,

Time: 4.00002,Cell: 20,0,0,324,0,0,0,151,0,0,0,0,0,644,0,
,Cell: 21,0,0,352,0,0,0,152,0,0,0,0,0,586,0,
,Cell: 22,0,0,361,0,0,0,156,0,0,0,0,0,649,0,
,Cell: 23,0,0,319,0,0,0,143,0,0,0,0,0,567,0,
,Cell: 24,0,0,314,0,0,0,153,0,0,0,0,0,609,0,
,Cell: 25,0,0,325,0,0,0,134,0,0,0,0,0,636,0,
,Cell: 26,0,0,328,0,0,0,154,0,0,0,0,0,626,0,
,Cell: 27,0,0,311,0,0,0,133,0,0,0,0,0,549,0,
,Cell: 28,0,0,327,0,0,0,127,0,0,0,0,0,522,0,
,Cell: 29,0,0,308,0,0,0,148,0,0,0,0,0,616,0,
,Cell: 30,0,0,337,0,0,0,143,0,0,0,0,0,630,0,
,Cell: 31,0,0,370,0,0,0,153,0,0,0,0,0,621,0,
,Cell: 32,0,0,308,0,0,0,148,0,0,0,0,0,616,0,
,Cell: 33,0,0,337,0,0,0,143,0,0,0,0,0,630,0,
,Cell: 34,0,0,370,0,0,0,153,0,0,0,0,0,621,0,
,Cell: 35,0,0,327,0,0,0,127,0,0,0,0,0,522,0,
,Cell: 16,0,0,285,0,0,0,132,0,0,0,0,0,560,0,
,Cell: 17,0,0,338,0,0,0,152,0,0,0,0,0,730,0,
,Cell: 18,0,0,323,0,0,0,156,0,0,0,0,0,641,0,
,Cell: 19,0,0,329,0,0,0,160,0,0,0,0,0,675,0,

Time: 5.00002,Cell: 20,0,0,368,0,0,0,183,0,0,0,0,0,963,0,
,Cell: 21,0,0,342,0,0,0,176,0,0,0,0,0,965,0,
,Cell: 22,0,0,387,0,0,0,180,0,0,0,0,0,1004,0,
,Cell: 23,0,0,339,0,0,0,177,0,0,0,0,0,925,0,
,Cell: 24,0,0,375,0,0,0,177,0,0,0,0,0,939,0,
,Cell: 25,0,0,328,0,0,0,156,0,0,0,0,0,955,0,
,Cell: 26,0,0,367,0,0,0,203,0,0,0,0,0,995,0,
,Cell: 27,0,0,341,0,0,0,176,0,0,0,0,0,896,0,
,Cell: 28,0,0,345,0,0,0,154,0,0,0,0,0,802,0,
,Cell: 29,0,0,378,0,0,0,174,0,0,0,0,0,938,0,
,Cell: 30,0,0,386,0,0,0,168,0,0,0,0,0,961,0,
,Cell: 31,0,0,373,0,0,0,175,0,0,0,0,0,1005,0,
,Cell: 32,0,0,412,0,0,0,178,0,0,0,0,0,968,0,
,Cell: 33,0,0,351,0,0,0,161,0,0,0,0,0,990,0,
,Cell: 34,0,0,380,0,0,0,196,0,0,0,0,0,980,0,
,Cell: 35,0,0,330,0,0,0,175,0,0,0,0,0,826,0,
,Cell: 36,0,0,351,0,0,0,161,0,0,0,0,0,990,0,
,Cell: 37,0,0,412,0,0,0,178,0,0,0,0,0,968,0,
,Cell: 38,0,0,380,0,0,0,196,0,0,0,0,0,980,0,
,Cell: 39,0,0,330,0,0,0,175,0,0,0,0,0,826,0,

