
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
20,0,1,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

Time,Cell,ph1,ph7,ph13,pd,mh1,mh7,mh13,md,ph11,ph17,ph113,ph77,ph1313,ph713,
Time: 0,Cell: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Cell: 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time: 1.00001,Cell: 20,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 21,0,0,31,0,0,0,46,0,0,0,0,0,0,0,
,Cell: 22,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 23,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 4,0,0,27,0,0,0,36,0,0,0,0,0,2,0,
,Cell: 5,0,0,52,0,0,0,62,0,0,0,0,0,3,0,
,Cell: 6,0,0,30,0,0,0,51,0,0,0,0,0,0,0,
,Cell: 7,0,0,18,0,0,0,49,0,0,0,0,0,1,0,
,Cell: 8,0,0,34,0,0,0,50,0,0,0,0,0,2,0,
,Cell: 9,0,0,50,0,0,0,50,0,0,0,0,0,5,0,
,Cell: 10,0,0,39,0,0,0,43,0,0,0,0,0,2,0,
,Cell: 11,0,0,39,0,0,0,42,0,0,0,0,0,0,0,
,Cell: 12,0,0,33,0,0,0,38,0,0,0,0,0,1,0,
,Cell: 13,0,0,41,0,0,0,46,0,0,0,0,0,3,0,
,Cell: 14,0,0,47,0,0,0,43,0,0,0,0,0,0,0,
,Cell: 15,0,0,56,0,0,0,45,0,0,0,0,0,1,0,
,Cell: 16,0,0,54,0,0,0,46,0,0,0,0,0,2,0,
,Cell: 17,0,0,49,0,0,0,56,0,0,0,0,0,4,0,
,Cell: 18,0,0,44,0,0,0,46,0,0,0,0,0,1,0,
,Cell: 19,0,0,31,0,0,0,46,0,0,0,0,0,0,0,

Time: 2.00001,Cell: 20,0,0,211,0,0,0,87,0,0,0,0,0,90,0,
,Cell: 21,0,0,202,0,0,0,97,0,0,0,0,0,78,0,
,Cell: 22,0,0,207,0,0,0,96,0,0,0,0,0,110,0,
,Cell: 23,0,0,202,0,0,0,94,0,0,0,0,0,91,0,
,Cell: 24,0,0,207,0,0,0,96,0,0,0,0,0,110,0,
,Cell: 25,0,0,211,0,0,0,87,0,0,0,0,0,90,0,
,Cell: 26,0,0,202,0,0,0,97,0,0,0,0,0,78,0,
,Cell: 27,0,0,202,0,0,0,94,0,0,0,0,0,91,0,
,Cell: 8,0,0,226,0,0,0,88,0,0,0,0,0,89,0,
,Cell: 9,0,0,198,0,0,0,86,0,0,0,0,0,82,0,
,Cell: 10,0,0,181,0,0,0,83,0,0,0,0,0,83,0,
,Cell: 11,0,0,166,0,0,0,73,0,0,0,0,0,82,0,
,Cell: 12,0,0,164,0,0,0,67,0,0,0,0,0,66,0,
,Cell: 13,0,0,208,0,0,0,86,0,0,0,0,0,87,0,
,Cell: 14,0,0,202,0,0,0,76,0,0,0,0,0,82,0,
,Cell: 15,0,0,184,0,0,0,89,0,0,0,0,0,99,0,
,Cell: 16,0,0,209,0,0,0,84,0,0,0,0,0,77,0,
,Cell: 17,0,0,240,0,0,0,89,0,0,0,0,0,108,0,
,Cell: 18,0,0,187,0,0,0,95,0,0,0,0,0,88,0,
,Cell: 19,0,0,204,0,0,0,82,0,0,0,0,0,76,0,

Time: 3.00001,Cell: 20,0,0,299,0,0,0,122,0,0,0,0,0,326,0,
,Cell: 21,0,0,319,0,0,0,132,0,0,0,0,0,339,0,
,Cell: 22,0,0,307,0,0,0,130,0,0,0,0,0,378,0,
,Cell: 23,0,0,296,0,0,0,125,0,0,0,0,0,356,0,
,Cell: 24,0,0,300,0,0,0,123,0,0,0,0,0,389,0,
,Cell: 25,0,0,306,0,0,0,111,0,0,0,0,0,302,0,
,Cell: 26,0,0,308,0,0,0,127,0,0,0,0,0,330,0,
,Cell: 27,0,0,288,0,0,0,143,0,0,0,0,0,347,0,
,Cell: 28,0,0,288,0,0,0,143,0,0,0,0,0,347,0,
,Cell: 29,0,0,306,0,0,0,111,0,0,0,0,0,302,0,
,Cell: 30,0,0,308,0,0,0,127,0,0,0,0,0,330,0,
,Cell: 31,0,0,300,0,0,0,123,0,0,0,0,0,389,0,
,Cell: 12,0,0,248,0,0,0,103,0,0,0,0,0,225,0,
,Cell: 13,0,0,279,0,0,0,128,0,0,0,0,0,329,0,
,Cell: 14,0,0,256,0,0,0,119,0,0,0,0,0,286,0,
,Cell: 15,0,0,302,0,0,0,130,0,0,0,0,0,325,0,
,Cell: 16,0,0,294,0,0,0,109,0,0,0,0,0,301,0,
,Cell: 17,0,0,284,0,0,0,113,0,0,0,0,0,355,0,
,Cell: 18,0,0,268,0,0,0,132,0,0,0,0,0,328,0,
,Cell: 19,0,0,280,0,0,0,120,0,0,0,0,0,306,0,

Time: 4.00002,Cell: 20,0,0,340,0,0,0,148,0,0,0,0,0,654,0,
,Cell: 21,0,0,334,0,0,0,161,0,0,0,0,0,709,0,
,Cell: 22,0,0,324,0,0,0,162,0,0,0,0,0,714,0,
,Cell: 23,0,0,355,0,0,0,161,0,0,0,0,0,676,0,
,Cell: 24,0,0,340,0,0,0,157,0,0,0,0,0,722,0,
,Cell: 25,0,0,335,0,0,0,156,0,0,0,0,0,575,0,
,Cell: 26,0,0,345,0,0,0,155,0,0,0,0,0,649,0,
,Cell: 27,0,0,376,0,0,0,174,0,0,0,0,0,730,0,
,Cell: 28,0,0,348,0,0,0,179,0,0,0,0,0,717,0,
,Cell: 29,0,0,345,0,0,0,139,0,0,0,0,0,575,0,
,Cell: 30,0,0,356,0,0,0,170,0,0,0,0,0,670,0,
,Cell: 31,0,0,306,0,0,0,155,0,0,0,0,0,679,0,
,Cell: 32,0,0,345,0,0,0,139,0,0,0,0,0,575,0,
,Cell: 33,0,0,348,0,0,0,179,0,0,0,0,0,717,0,
,Cell: 34,0,0,356,0,0,0,170,0,0,0,0,0,670,0,
,Cell: 35,0,0,306,0,0,0,155,0,0,0,0,0,679,0,
,Cell: 16,0,0,329,0,0,0,136,0,0,0,0,0,564,0,
,Cell: 17,0,0,305,0,0,0,148,0,0,0,0,0,640,0,
,Cell: 18,0,0,326,0,0,0,170,0,0,0,0,0,662,0,
,Cell: 19,0,0,310,0,0,0,156,0,0,0,0,0,644,0,

Time: 5.00002,Cell: 20,0,0,374,0,0,0,179,0,0,0,0,0,1005,0,
,Cell: 21,0,0,373,0,0,0,185,0,0,0,0,0,1091,0,
,Cell: 22,0,0,417,0,0,0,196,0,0,0,0,0,1072,0,
,Cell: 23,0,0,364,0,0,0,195,0,0,0,0,0,1078,0,
,Cell: 24,0,0,366,0,0,0,184,0,0,0,0,0,1077,0,
,Cell: 25,0,0,373,0,0,0,195,0,0,0,0,0,930,0,
,Cell: 26,0,0,359,0,0,0,187,0,0,0,0,0,1007,0,
,Cell: 27,0,0,380,0,0,0,194,0,0,0,0,0,1176,0,
,Cell: 28,0,0,431,0,0,0,196,0,0,0,0,0,1102,0,
,Cell: 29,0,0,346,0,0,0,177,0,0,0,0,0,930,0,
,Cell: 30,0,0,406,0,0,0,208,0,0,0,0,0,1073,0,
,Cell: 31,0,0,365,0,0,0,181,0,0,0,0,0,1041,0,
,Cell: 32,0,0,385,0,0,0,182,0,0,0,0,0,894,0,
,Cell: 33,0,0,410,0,0,0,185,0,0,0,0,0,1137,0,
,Cell: 34,0,0,436,0,0,0,191,0,0,0,0,0,1081,0,
,Cell: 35,0,0,371,0,0,0,181,0,0,0,0,0,1009,0,
,Cell: 36,0,0,385,0,0,0,182,0,0,0,0,0,894,0,
,Cell: 37,0,0,410,0,0,0,185,0,0,0,0,0,1137,0,
,Cell: 38,0,0,371,0,0,0,181,0,0,0,0,0,1009,0,
,Cell: 39,0,0,436,0,0,0,191,0,0,0,0,0,1081,0,

